Title
Annual Visitation and Record Year by Park (1904 - Last Calendar Year)

RegionName,ParkName,ParkType,Year,TRV
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1933,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1932,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1931,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1930,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1929,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1928,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1927,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1926,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1925,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1924,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1923,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1922,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1921,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1920,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1919,
Northeast  Region,Gateway NRA,National Recreation Area,2024,"8,929,035"
Northeast  Region,Gateway NRA,National Recreation Area,2023,"8,705,329"
Northeast  Region,Gateway NRA,National Recreation Area,2022,"8,728,291"
Northeast  Region,Gateway NRA,National Recreation Area,2021,"9,060,807"
Northeast  Region,Gateway NRA,National Recreation Area,2020,"8,404,728"
Northeast  Region,Gateway NRA,National Recreation Area,2019,"9,405,622"
Northeast  Region,Gateway NRA,National Recreation Area,2018,"9,243,305"
Northeast  Region,Gateway NRA,National Recreation Area,2017,"9,190,610"
Northeast  Region,Gateway NRA,National Recreation Area,2016,"8,651,770"
Northeast  Region,Gateway NRA,National Recreation Area,2015,"6,392,565"
Northeast  Region,Gateway NRA,National Recreation Area,2014,"6,021,713"
Northeast  Region,Gateway NRA,National Recreation Area,2013,"6,191,246"
Northeast  Region,Gateway NRA,National Recreation Area,2012,"5,043,863"
Northeast  Region,Gateway NRA,National Recreation Area,2011,"7,697,727"
